rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;ips
2018-2019;LA REUNION;974;LA REUNION;9740286T;ECOLE PRIMAIRE PUBLIQUE AMBROISE VOLLARD;97414;SAINT LOUIS;public;77.0
2018-2019;LA REUNION;974;LA REUNION;9740289W;ECOLE PRIMAIRE PUBLIQUE PETITE FRANCE;97415;SAINT PAUL;public;75.5
2018-2019;LA REUNION;974;LA REUNION;9740303L;ECOLE ELEMENTAIRE PUBLIQUE GUILLAUME CENTRE;97415;SAINT PAUL;public;81.6
2018-2019;LA REUNION;974;LA REUNION;9740314Y;ECOLE PRIMAIRE PUBLIQUE BARRAGE;97415;SAINT PAUL;public;72.2
2018-2019;LA REUNION;974;LA REUNION;9740316A;ECOLE PRIMAIRE PUBLIQUE YVES PAULA;97415;SAINT PAUL;public;75.8
2018-2019;LA REUNION;974;LA REUNION;9740318C;ECOLE ELEMENTAIRE PUBLIQUE VILLELE;97415;SAINT PAUL;public;86.0
2018-2019;LA REUNION;974;LA REUNION;9740319D;ECOLE PRIMAIRE PUBLIQUE EMILE HUGOT;97415;SAINT PAUL;public;70.4
2018-2019;LA REUNION;974;LA REUNION;9740322G;ECOLE PRIMAIRE PUBLIQUE ADELE FERRAND;97415;SAINT PAUL;public;74.8
2018-2019;LA REUNION;974;LA REUNION;9740326L;ECOLE PRIMAIRE PUBLIQUE GRAND FOND;97415;SAINT PAUL;public;119.1
2018-2019;LA REUNION;974;LA REUNION;9740356U;ECOLE ELEMENTAIRE PUBLIQUE LISLET GEOFFROY;97416;SAINT PIERRE;public;103.2
2018-2019;LA REUNION;974;LA REUNION;9740367F;ECOLE PRIMAIRE ALBERT CAMUS;97416;SAINT PIERRE;public;68.1
2018-2019;LA REUNION;974;LA REUNION;9740382X;ECOLE PRIMAIRE PUBLIQUE RENE PAYET;97421;SALAZIE;public;71.7
